"name,""barcode"",""price"""
"ACEITE OLIVA SABOR INTENSO TAPON VERDE ***BAJADA PVP PENINSULA Y BALEARES***, HACENDADO, BOTELLA 1 L,""08480000046406"",""2.7"""
"SUSHI KIT (PALILLOS, SALSA WASABI, SALSA DE SOJA Y BANDEJA PARA SALSA) *NOVEDAD*, LEROY, U,""08436550541465"",""1.0"""
"SUSHI MAKIS SALMON CON PESCADO CRUDO ***NOVEDAD***, OMAKASE, BANDEJA 8 U - 100 G,""08410063082653"",""4.25"""
"SUSHI MAKIS SURTIDO VEGANO ***NOVEDAD***, OMAKASE, BANDEJA 8 U - 135 G,""08410063082639"",""4.50"""
"SUSHI NIGUIRIS LANGOSTINO COCIDO ***NOVEDAD***, OMAKASE, BANDEJA 4 U - 110 G,""08410063082578"",""3.75"""
"SUSHI NIGUIRIS SALMON CON PESCADO CRUDO ***NOVEDAD***, OMAKASE, BANDEJA 4 U - 110 G,""08410063082509"",""3.75"""
"SUSHI NIGUIRIS SURTIDO CON PESCADO CRUDO (2 SALMON, 2 ATUN Y 2 LANGOSTINO) ***NOVEDAD***, OMAKASE, BANDEJA 6 U - 165 G,""08410063082516"",""4.75"""
"SUSHI ROLL CRUNCH CON PESCADO COCIDO (SURIMI, PEPINO, CREMA QUESO Y CEBOLLA) ***NOVEDAD***, OMAKASE, BANDEJA 6 U - 115 G,""08410063082462"",""3.95"""
"SUSHI ROLL SURTIDO CON PESCADO COCIDO (2 LANGOSTINO, 2 TAMAGO Y 2 SURIMI) ***NOVEDAD***, OMAKASE, BANDEJA 6 U - 95 G,""08410063082493"",""3.95"""
"SUSHI ROLL SURTIDO CON PESCADO CRUDO (2 ATUN Y 4 SALMON) ***NOVEDAD***, OMAKASE, BANDEJA 6 U - 95 G,""08410063082486"",""3.95"""
"SUSHI ROLL SURTIDO CON PESCADO CRUDO (4 SURIMI, 8 SALMON Y 4 LANGOSTINO COCIDO) *NOVEDAD*, OMAKASE, BANDEJA 16 U - 280 G,""08410063082660"",""8.95"""
"SUSHI SASHIMI SALMON CON SESAMO BLANCO Y SALSA PONZU ***NOVEDAD***, OMAKASE, BANDEJA 116 G,""08410063082677"",""5.75"""
"SUSHI SURTIDO BENTO BOX (ENSALADA ALGA WAKAME, SURTIDO SUSHI Y TARTAR SALMON) *NOVEDAD*, OMAKASE, BANDEJA 260 G,""08410063082615"",""6.95"""
"SUSHI SURTIDO SIN GLUTEN (4 NIGIRIS, 4 ROLL, 4 MAKIS, 4 SASHIMIS) ***NOVEDAD***, OMAKASE, BANDEJA 16 U - 300 G,""08410063082622"",""9.95"""
"SUSHI SURTIDO (16 NIGUIRIS, 12 ROLL, 12 MAKIS Y 8 SASHIMIS) (ENTREGAS VIERNES, SABADOS Y VISPERAS FESTIVOS) *NOVEDAD*, OMAKASE, BANDEJA 48 U - 950 G,""08410063082523"",""31.95"""
"SUSHI SURTIDO (4 NIGIRIS, 4 ROLL, 4 MAKIS, 4 SASHIMIS) ***NOVEDAD***, OMAKASE, BANDEJA 16 U- 288 G,""08410063082479"",""8.95"""
"SUSHI TARTAR CON PESCADO CRUDO (ATUN, CEBOLLINO, CEBOLLA Y SESAMO) *NOVEDAD*, OMAKASE, BANDEJA 160 G,""08410063082585"",""5.75"""
"VINO BLANCO FRIZZANTE SIN ALCOHOL ***NOVEDAD***, DULZZE, BOTELLA 750 CC,""08480000668943"",""3.99"""
"WASABI (PARA SUSHI) ***NOVEDAD***, LEROY, PAQUETE 4 MONODOSIS - 10 G,""08436550541540"",""0.90"""
"SUSHI ALGAS WAKAME ***NOVEDAD***, OMAKASE, BANDEJA 80 G,""08410063082530"",""3.10"""
"SUSHI BOWL CON PESCADO CRUDO (ENSALADA ARROZ, SALMÓN, PEPINO Y SALSA SUSHI) ***NOVEDAD***, OMAKASE, BANDEJA 200 G,""08410063082592"",""3.95"""
